web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144947-6828,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/naturaplan-bio-cremant-d-alsace-aop-wolfberger-brut/p/4117303,"Naturaplan Bio Crémant d'Alsace AOP Wolfberger, brut",2022-2025,Frankreich,Elsass,null,"Auxerrois, 
                                Chardonnay, 
                                Pinot Blanc, 
                                Pinot Gris, 
                                Riesling, 
                                Pinot Noir",null,12.00%,75cl,10.5
1671144950-6831,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/murailles-rose-brut-h-badoux/p/6795754,Murailles Rosé Brut H. Badoux,2022-2025,Schweiz,übrige Schweiz,null,"Chardonnay, 
                                Pinot Noir",null,12.00%,75cl,15.75
1671144953-6833,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/murailles-brut-grand-vin-mousseux/p/5853401,Murailles Brut Grand Vin Mousseux,2022-2025,Schweiz,übrige Schweiz,null,Chardonnay,null,13.30%,75cl,15.5
1671144955-6835,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mousseux-jacques-germanier-brut-millesime/p/1000138015,Mousseux Jacques Germanier brut Millésimé,2016,2023-2026,Schweiz,Wallis,Jaques Germanier,Chardonnay,12.50%,75cl,18.95
1671144958-6837,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mousseux-chardonnay-blanc-de-blancs-baccarat-brut-etui/p/6112606,Mousseux Chardonnay Blanc de Blancs Baccarat brut Etui,2022-2025,Schweiz,Genf,null,Chardonnay,null,12.50%,75cl,10.95
1671144961-6839,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mousseux-chardonnay-blanc-de-blancs-baccarat-brut/p/3170378,Mousseux Chardonnay Blanc de Blancs Baccarat brut,2022-2025,Schweiz,Genf,null,Chardonnay,null,12.50%,75cl,10.95
1671144964-6841,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/moscato-spumante-maestro/p/3170449,Moscato Spumante Maestro,2022-2025,Italien,Venetien,Muscat,Aperitif,null,7.80%,75cl,3.95
1671144966-6843,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/moscato-d-asti-docg-le-fronde-fontanafredda/p/1014395003,Moscato d’Asti DOCG Le Fronde Fontanafredda,2019,2022-2025,Italien,Piemont,Fontanafredda,Muscat,5.50%,75cl,10.15
1671144969-6845,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/moscato-d-asti-docg-le-fronde-fontanafredda/p/1014395004,Moscato d’Asti DOCG Le Fronde Fontanafredda,2020,2022-2024,Italien,Piemont,Fontanafredda,Muscat,5.00%,75cl,14.5
1671144972-6847,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/mionetto-il-lychee/p/6718401,Mionetto Il Lychee,Italien,diverse Sorten,null,null,null,null,8.00%,75cl,4.45
1671144975-6849,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/mionetto-il-hugo/p/4304303,Mionetto IL Hugo,2022-2025,Italien,null,null,Assemblage de cépages,null,8.00%,75cl,6.95
1671144978-6851,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mauler-demi-sec/p/3170580,Mauler Demi-Sec,2022-2025,Schweiz,übrige Schweiz,null,Chasselas,null,12.00%,75cl,12.5
1671144981-6853,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mauler-cordon-rose-demi-sec/p/3170030,Mauler Cordon Rosé demi-sec,2022-2025,Schweiz,Drei-Seen-Region,null,Cabernet Sauvignon,null,12.00%,75cl,12.5
1671144983-6855,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/mauler-cadet-mauler-sans-alcool/p/5812218,Mauler Cadet Mauler sans alcool,null,null,null,null,null,null,null,75cl,8.5
1671144986-6857,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mauler-brut/p/3170582,Mauler Brut,2022-2024,Schweiz,übrige Schweiz,null,"Chardonnay, 
                                Chenin Blanc",null,12.50%,75cl,12.5
1671144989-6860,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mauler-brut/p/5965084,Mauler brut,2022-2025,Schweiz,übrige Schweiz,null,"Chardonnay, 
                                Colombard, 
                                Pinot Noir",null,12.50%,150cl,45
1671144992-6862,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/mauler-brut/p/4890886,Mauler brut,2022-2025,Schweiz,übrige Schweiz,null,Chardonnay,null,12.50%,37.5cl,9.95
1671144995-6864,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/masottina-prosecco-treviso-doc-brut/p/5898074,Masottina Prosecco Treviso DOC Brut,2022-2024,Italien,Venetien,Glera,"Decanter: 96 
 Falstaff: 91 
 Mundus Vini: Silber",null,11.00%,75cl,7.95
1671144999-6866,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/martini-spumante-brut/p/3170063,Martini Spumante Brut,2022-2025,Italien,null,null,Trebbiano,null,11.50%,75cl,8.95
1671145001-6868,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/martini-rose-spumante-extra-dry/p/6637331,Martini Rosé spumante Extra dry,2022-2025,Italien,Piemont,null,diverse Sorten,null,11.50%,75cl,9.95
1671145004-6870,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/lombardei-docg-franciacorta-61-saten-guido-berlucchi/p/7045156,Lombardei DOCG Franciacorta 61 Satèn Guido Berlucchi,2022-2028,Italien,Lombardei/Veltlin,null,Chardonnay,null,12.50%,75cl,38.5
